2024-04-23-19-09-27
CompletionUsage(completion_tokens=82, prompt_tokens=372, total_tokens=454)
CompletionUsage(completion_tokens=85, prompt_tokens=374, total_tokens=459)
CompletionUsage(completion_tokens=73, prompt_tokens=361, total_tokens=434)
CompletionUsage(completion_tokens=74, prompt_tokens=366, total_tokens=440)
CompletionUsage(completion_tokens=87, prompt_tokens=367, total_tokens=454)
CompletionUsage(completion_tokens=96, prompt_tokens=386, total_tokens=482)
CompletionUsage(completion_tokens=79, prompt_tokens=343, total_tokens=422)
CompletionUsage(completion_tokens=57, prompt_tokens=337, total_tokens=394)
CompletionUsage(completion_tokens=281, prompt_tokens=316, total_tokens=597)
CompletionUsage(completion_tokens=52, prompt_tokens=693, total_tokens=745)
CompletionUsage(completion_tokens=98, prompt_tokens=375, total_tokens=473)
CompletionUsage(completion_tokens=158, prompt_tokens=362, total_tokens=520)
CompletionUsage(completion_tokens=99, prompt_tokens=367, total_tokens=466)
CompletionUsage(completion_tokens=76, prompt_tokens=368, total_tokens=444)
CompletionUsage(completion_tokens=97, prompt_tokens=387, total_tokens=484)
CompletionUsage(completion_tokens=70, prompt_tokens=344, total_tokens=414)
CompletionUsage(completion_tokens=116, prompt_tokens=338, total_tokens=454)
CompletionUsage(completion_tokens=189, prompt_tokens=317, total_tokens=506)
CompletionUsage(completion_tokens=5, prompt_tokens=694, total_tokens=699)
CompletionUsage(completion_tokens=75, prompt_tokens=452, total_tokens=527)
CompletionUsage(completion_tokens=108, prompt_tokens=449, total_tokens=557)
CompletionUsage(completion_tokens=118, prompt_tokens=464, total_tokens=582)
CompletionUsage(completion_tokens=70, prompt_tokens=458, total_tokens=528)
CompletionUsage(completion_tokens=100, prompt_tokens=436, total_tokens=536)
CompletionUsage(completion_tokens=81, prompt_tokens=460, total_tokens=541)
CompletionUsage(completion_tokens=108, prompt_tokens=446, total_tokens=554)
CompletionUsage(completion_tokens=327, prompt_tokens=417, total_tokens=744)
CompletionUsage(completion_tokens=91, prompt_tokens=719, total_tokens=810)
CompletionUsage(completion_tokens=60, prompt_tokens=443, total_tokens=503)
CompletionUsage(completion_tokens=121, prompt_tokens=440, total_tokens=561)
CompletionUsage(completion_tokens=88, prompt_tokens=455, total_tokens=543)
CompletionUsage(completion_tokens=55, prompt_tokens=449, total_tokens=504)
CompletionUsage(completion_tokens=75, prompt_tokens=427, total_tokens=502)
CompletionUsage(completion_tokens=73, prompt_tokens=451, total_tokens=524)
CompletionUsage(completion_tokens=83, prompt_tokens=437, total_tokens=520)
CompletionUsage(completion_tokens=85, prompt_tokens=408, total_tokens=493)
CompletionUsage(completion_tokens=76, prompt_tokens=710, total_tokens=786)
CompletionUsage(completion_tokens=81, prompt_tokens=444, total_tokens=525)
CompletionUsage(completion_tokens=5, prompt_tokens=441, total_tokens=446)
CompletionUsage(completion_tokens=5, prompt_tokens=456, total_tokens=461)
CompletionUsage(completion_tokens=5, prompt_tokens=450, total_tokens=455)
CompletionUsage(completion_tokens=5, prompt_tokens=428, total_tokens=433)
CompletionUsage(completion_tokens=78, prompt_tokens=452, total_tokens=530)
CompletionUsage(completion_tokens=70, prompt_tokens=438, total_tokens=508)
CompletionUsage(completion_tokens=388, prompt_tokens=409, total_tokens=797)
CompletionUsage(completion_tokens=5, prompt_tokens=711, total_tokens=716)
CompletionUsage(completion_tokens=197, prompt_tokens=542, total_tokens=739)
CompletionUsage(completion_tokens=116, prompt_tokens=501, total_tokens=617)
CompletionUsage(completion_tokens=113, prompt_tokens=541, total_tokens=654)
CompletionUsage(completion_tokens=172, prompt_tokens=584, total_tokens=756)
CompletionUsage(completion_tokens=86, prompt_tokens=538, total_tokens=624)
CompletionUsage(completion_tokens=110, prompt_tokens=470, total_tokens=580)
CompletionUsage(completion_tokens=128, prompt_tokens=866, total_tokens=994)
CompletionUsage(completion_tokens=76, prompt_tokens=533, total_tokens=609)
CompletionUsage(completion_tokens=87, prompt_tokens=492, total_tokens=579)
CompletionUsage(completion_tokens=65, prompt_tokens=532, total_tokens=597)
CompletionUsage(completion_tokens=93, prompt_tokens=575, total_tokens=668)
CompletionUsage(completion_tokens=80, prompt_tokens=529, total_tokens=609)
CompletionUsage(completion_tokens=86, prompt_tokens=461, total_tokens=547)
CompletionUsage(completion_tokens=72, prompt_tokens=857, total_tokens=929)
CompletionUsage(completion_tokens=149, prompt_tokens=534, total_tokens=683)
CompletionUsage(completion_tokens=111, prompt_tokens=493, total_tokens=604)
CompletionUsage(completion_tokens=177, prompt_tokens=533, total_tokens=710)
CompletionUsage(completion_tokens=107, prompt_tokens=576, total_tokens=683)
CompletionUsage(completion_tokens=95, prompt_tokens=530, total_tokens=625)
CompletionUsage(completion_tokens=512, prompt_tokens=462, total_tokens=974)
CompletionUsage(completion_tokens=5, prompt_tokens=858, total_tokens=863)
CompletionUsage(completion_tokens=145, prompt_tokens=495, total_tokens=640)
CompletionUsage(completion_tokens=183, prompt_tokens=429, total_tokens=612)
CompletionUsage(completion_tokens=123, prompt_tokens=467, total_tokens=590)
CompletionUsage(completion_tokens=110, prompt_tokens=520, total_tokens=630)
CompletionUsage(completion_tokens=125, prompt_tokens=488, total_tokens=613)
CompletionUsage(completion_tokens=80, prompt_tokens=476, total_tokens=556)
CompletionUsage(completion_tokens=134, prompt_tokens=391, total_tokens=525)
CompletionUsage(completion_tokens=157, prompt_tokens=967, total_tokens=1124)
CompletionUsage(completion_tokens=59, prompt_tokens=486, total_tokens=545)
CompletionUsage(completion_tokens=79, prompt_tokens=420, total_tokens=499)
CompletionUsage(completion_tokens=61, prompt_tokens=458, total_tokens=519)
CompletionUsage(completion_tokens=88, prompt_tokens=511, total_tokens=599)
CompletionUsage(completion_tokens=80, prompt_tokens=479, total_tokens=559)
CompletionUsage(completion_tokens=72, prompt_tokens=467, total_tokens=539)
CompletionUsage(completion_tokens=78, prompt_tokens=382, total_tokens=460)
CompletionUsage(completion_tokens=72, prompt_tokens=958, total_tokens=1030)
CompletionUsage(completion_tokens=123, prompt_tokens=487, total_tokens=610)
CompletionUsage(completion_tokens=122, prompt_tokens=421, total_tokens=543)
CompletionUsage(completion_tokens=109, prompt_tokens=459, total_tokens=568)
CompletionUsage(completion_tokens=117, prompt_tokens=512, total_tokens=629)
CompletionUsage(completion_tokens=113, prompt_tokens=480, total_tokens=593)
CompletionUsage(completion_tokens=79, prompt_tokens=468, total_tokens=547)
CompletionUsage(completion_tokens=219, prompt_tokens=383, total_tokens=602)
CompletionUsage(completion_tokens=5, prompt_tokens=959, total_tokens=964)
CompletionUsage(completion_tokens=85, prompt_tokens=480, total_tokens=565)
CompletionUsage(completion_tokens=78, prompt_tokens=465, total_tokens=543)
CompletionUsage(completion_tokens=81, prompt_tokens=459, total_tokens=540)
CompletionUsage(completion_tokens=117, prompt_tokens=525, total_tokens=642)
CompletionUsage(completion_tokens=99, prompt_tokens=490, total_tokens=589)
CompletionUsage(completion_tokens=95, prompt_tokens=464, total_tokens=559)
CompletionUsage(completion_tokens=327, prompt_tokens=421, total_tokens=748)
CompletionUsage(completion_tokens=118, prompt_tokens=825, total_tokens=943)
CompletionUsage(completion_tokens=85, prompt_tokens=471, total_tokens=556)
CompletionUsage(completion_tokens=65, prompt_tokens=456, total_tokens=521)
CompletionUsage(completion_tokens=65, prompt_tokens=450, total_tokens=515)
CompletionUsage(completion_tokens=64, prompt_tokens=516, total_tokens=580)
CompletionUsage(completion_tokens=80, prompt_tokens=481, total_tokens=561)
CompletionUsage(completion_tokens=42, prompt_tokens=455, total_tokens=497)
CompletionUsage(completion_tokens=81, prompt_tokens=412, total_tokens=493)
CompletionUsage(completion_tokens=71, prompt_tokens=816, total_tokens=887)
CompletionUsage(completion_tokens=114, prompt_tokens=472, total_tokens=586)
CompletionUsage(completion_tokens=82, prompt_tokens=457, total_tokens=539)
CompletionUsage(completion_tokens=112, prompt_tokens=451, total_tokens=563)
CompletionUsage(completion_tokens=113, prompt_tokens=517, total_tokens=630)
CompletionUsage(completion_tokens=70, prompt_tokens=482, total_tokens=552)
CompletionUsage(completion_tokens=76, prompt_tokens=456, total_tokens=532)
CompletionUsage(completion_tokens=340, prompt_tokens=413, total_tokens=753)
CompletionUsage(completion_tokens=5, prompt_tokens=817, total_tokens=822)
CompletionUsage(completion_tokens=97, prompt_tokens=268, total_tokens=365)
CompletionUsage(completion_tokens=111, prompt_tokens=271, total_tokens=382)
CompletionUsage(completion_tokens=98, prompt_tokens=279, total_tokens=377)
CompletionUsage(completion_tokens=90, prompt_tokens=280, total_tokens=370)
CompletionUsage(completion_tokens=116, prompt_tokens=236, total_tokens=352)
CompletionUsage(completion_tokens=91, prompt_tokens=421, total_tokens=512)
CompletionUsage(completion_tokens=58, prompt_tokens=259, total_tokens=317)
CompletionUsage(completion_tokens=69, prompt_tokens=262, total_tokens=331)
CompletionUsage(completion_tokens=56, prompt_tokens=270, total_tokens=326)
CompletionUsage(completion_tokens=71, prompt_tokens=271, total_tokens=342)
CompletionUsage(completion_tokens=211, prompt_tokens=227, total_tokens=438)
CompletionUsage(completion_tokens=68, prompt_tokens=412, total_tokens=480)
CompletionUsage(completion_tokens=105, prompt_tokens=260, total_tokens=365)
CompletionUsage(completion_tokens=5, prompt_tokens=263, total_tokens=268)
CompletionUsage(completion_tokens=90, prompt_tokens=271, total_tokens=361)
CompletionUsage(completion_tokens=5, prompt_tokens=272, total_tokens=277)
CompletionUsage(completion_tokens=163, prompt_tokens=228, total_tokens=391)
CompletionUsage(completion_tokens=5, prompt_tokens=413, total_tokens=418)
CompletionUsage(completion_tokens=85, prompt_tokens=304, total_tokens=389)
CompletionUsage(completion_tokens=114, prompt_tokens=328, total_tokens=442)
CompletionUsage(completion_tokens=86, prompt_tokens=288, total_tokens=374)
CompletionUsage(completion_tokens=162, prompt_tokens=300, total_tokens=462)
CompletionUsage(completion_tokens=180, prompt_tokens=256, total_tokens=436)
CompletionUsage(completion_tokens=104, prompt_tokens=484, total_tokens=588)
CompletionUsage(completion_tokens=83, prompt_tokens=295, total_tokens=378)
CompletionUsage(completion_tokens=56, prompt_tokens=319, total_tokens=375)
CompletionUsage(completion_tokens=72, prompt_tokens=279, total_tokens=351)
CompletionUsage(completion_tokens=58, prompt_tokens=291, total_tokens=349)
CompletionUsage(completion_tokens=193, prompt_tokens=247, total_tokens=440)
CompletionUsage(completion_tokens=58, prompt_tokens=475, total_tokens=533)
CompletionUsage(completion_tokens=83, prompt_tokens=296, total_tokens=379)
CompletionUsage(completion_tokens=115, prompt_tokens=320, total_tokens=435)
CompletionUsage(completion_tokens=138, prompt_tokens=280, total_tokens=418)
CompletionUsage(completion_tokens=117, prompt_tokens=292, total_tokens=409)
CompletionUsage(completion_tokens=222, prompt_tokens=248, total_tokens=470)
CompletionUsage(completion_tokens=5, prompt_tokens=476, total_tokens=481)
CompletionUsage(completion_tokens=166, prompt_tokens=426, total_tokens=592)
CompletionUsage(completion_tokens=121, prompt_tokens=443, total_tokens=564)
CompletionUsage(completion_tokens=118, prompt_tokens=431, total_tokens=549)
CompletionUsage(completion_tokens=169, prompt_tokens=426, total_tokens=595)
CompletionUsage(completion_tokens=109, prompt_tokens=412, total_tokens=521)
CompletionUsage(completion_tokens=154, prompt_tokens=414, total_tokens=568)
CompletionUsage(completion_tokens=106, prompt_tokens=412, total_tokens=518)
CompletionUsage(completion_tokens=266, prompt_tokens=370, total_tokens=636)
CompletionUsage(completion_tokens=105, prompt_tokens=800, total_tokens=905)
CompletionUsage(completion_tokens=74, prompt_tokens=417, total_tokens=491)
CompletionUsage(completion_tokens=96, prompt_tokens=434, total_tokens=530)
CompletionUsage(completion_tokens=63, prompt_tokens=422, total_tokens=485)
CompletionUsage(completion_tokens=85, prompt_tokens=417, total_tokens=502)
CompletionUsage(completion_tokens=68, prompt_tokens=403, total_tokens=471)
CompletionUsage(completion_tokens=89, prompt_tokens=405, total_tokens=494)
CompletionUsage(completion_tokens=80, prompt_tokens=403, total_tokens=483)
CompletionUsage(completion_tokens=113, prompt_tokens=361, total_tokens=474)
CompletionUsage(completion_tokens=69, prompt_tokens=791, total_tokens=860)
CompletionUsage(completion_tokens=131, prompt_tokens=418, total_tokens=549)
CompletionUsage(completion_tokens=163, prompt_tokens=435, total_tokens=598)
CompletionUsage(completion_tokens=142, prompt_tokens=423, total_tokens=565)
CompletionUsage(completion_tokens=124, prompt_tokens=418, total_tokens=542)
CompletionUsage(completion_tokens=94, prompt_tokens=404, total_tokens=498)
CompletionUsage(completion_tokens=80, prompt_tokens=406, total_tokens=486)
CompletionUsage(completion_tokens=90, prompt_tokens=404, total_tokens=494)
CompletionUsage(completion_tokens=283, prompt_tokens=362, total_tokens=645)
CompletionUsage(completion_tokens=5, prompt_tokens=792, total_tokens=797)
CompletionUsage(completion_tokens=73, prompt_tokens=367, total_tokens=440)
CompletionUsage(completion_tokens=88, prompt_tokens=366, total_tokens=454)
CompletionUsage(completion_tokens=105, prompt_tokens=404, total_tokens=509)
CompletionUsage(completion_tokens=91, prompt_tokens=489, total_tokens=580)
CompletionUsage(completion_tokens=80, prompt_tokens=409, total_tokens=489)
CompletionUsage(completion_tokens=97, prompt_tokens=372, total_tokens=469)
CompletionUsage(completion_tokens=185, prompt_tokens=327, total_tokens=512)
CompletionUsage(completion_tokens=97, prompt_tokens=820, total_tokens=917)
CompletionUsage(completion_tokens=77, prompt_tokens=358, total_tokens=435)
CompletionUsage(completion_tokens=76, prompt_tokens=357, total_tokens=433)
CompletionUsage(completion_tokens=69, prompt_tokens=395, total_tokens=464)
CompletionUsage(completion_tokens=94, prompt_tokens=480, total_tokens=574)
CompletionUsage(completion_tokens=95, prompt_tokens=400, total_tokens=495)
CompletionUsage(completion_tokens=75, prompt_tokens=363, total_tokens=438)
CompletionUsage(completion_tokens=74, prompt_tokens=318, total_tokens=392)
CompletionUsage(completion_tokens=80, prompt_tokens=811, total_tokens=891)
CompletionUsage(completion_tokens=74, prompt_tokens=359, total_tokens=433)
CompletionUsage(completion_tokens=112, prompt_tokens=358, total_tokens=470)
CompletionUsage(completion_tokens=101, prompt_tokens=396, total_tokens=497)
CompletionUsage(completion_tokens=102, prompt_tokens=481, total_tokens=583)
CompletionUsage(completion_tokens=115, prompt_tokens=401, total_tokens=516)
CompletionUsage(completion_tokens=88, prompt_tokens=364, total_tokens=452)
CompletionUsage(completion_tokens=197, prompt_tokens=319, total_tokens=516)
CompletionUsage(completion_tokens=5, prompt_tokens=812, total_tokens=817)
CompletionUsage(completion_tokens=142, prompt_tokens=476, total_tokens=618)
CompletionUsage(completion_tokens=55, prompt_tokens=495, total_tokens=550)
CompletionUsage(completion_tokens=210, prompt_tokens=550, total_tokens=760)
CompletionUsage(completion_tokens=82, prompt_tokens=471, total_tokens=553)
CompletionUsage(completion_tokens=108, prompt_tokens=483, total_tokens=591)
CompletionUsage(completion_tokens=104, prompt_tokens=498, total_tokens=602)
CompletionUsage(completion_tokens=113, prompt_tokens=585, total_tokens=698)
CompletionUsage(completion_tokens=99, prompt_tokens=584, total_tokens=683)
CompletionUsage(completion_tokens=92, prompt_tokens=605, total_tokens=697)
CompletionUsage(completion_tokens=380, prompt_tokens=428, total_tokens=808)
CompletionUsage(completion_tokens=132, prompt_tokens=1394, total_tokens=1526)
CompletionUsage(completion_tokens=64, prompt_tokens=467, total_tokens=531)
CompletionUsage(completion_tokens=77, prompt_tokens=486, total_tokens=563)
CompletionUsage(completion_tokens=72, prompt_tokens=541, total_tokens=613)
CompletionUsage(completion_tokens=65, prompt_tokens=462, total_tokens=527)
CompletionUsage(completion_tokens=61, prompt_tokens=474, total_tokens=535)
CompletionUsage(completion_tokens=78, prompt_tokens=489, total_tokens=567)
CompletionUsage(completion_tokens=97, prompt_tokens=576, total_tokens=673)
CompletionUsage(completion_tokens=77, prompt_tokens=575, total_tokens=652)
CompletionUsage(completion_tokens=75, prompt_tokens=596, total_tokens=671)
CompletionUsage(completion_tokens=350, prompt_tokens=419, total_tokens=769)
CompletionUsage(completion_tokens=73, prompt_tokens=1385, total_tokens=1458)
CompletionUsage(completion_tokens=148, prompt_tokens=468, total_tokens=616)
CompletionUsage(completion_tokens=5, prompt_tokens=487, total_tokens=492)
CompletionUsage(completion_tokens=97, prompt_tokens=542, total_tokens=639)
CompletionUsage(completion_tokens=5, prompt_tokens=463, total_tokens=468)
CompletionUsage(completion_tokens=5, prompt_tokens=475, total_tokens=480)
CompletionUsage(completion_tokens=100, prompt_tokens=490, total_tokens=590)
CompletionUsage(completion_tokens=142, prompt_tokens=577, total_tokens=719)
CompletionUsage(completion_tokens=135, prompt_tokens=576, total_tokens=711)
CompletionUsage(completion_tokens=120, prompt_tokens=597, total_tokens=717)
CompletionUsage(completion_tokens=412, prompt_tokens=420, total_tokens=832)
CompletionUsage(completion_tokens=5, prompt_tokens=1386, total_tokens=1391)
CompletionUsage(completion_tokens=93, prompt_tokens=342, total_tokens=435)
CompletionUsage(completion_tokens=89, prompt_tokens=334, total_tokens=423)
CompletionUsage(completion_tokens=104, prompt_tokens=451, total_tokens=555)
CompletionUsage(completion_tokens=137, prompt_tokens=483, total_tokens=620)
CompletionUsage(completion_tokens=188, prompt_tokens=293, total_tokens=481)
CompletionUsage(completion_tokens=100, prompt_tokens=763, total_tokens=863)
CompletionUsage(completion_tokens=94, prompt_tokens=333, total_tokens=427)
CompletionUsage(completion_tokens=67, prompt_tokens=325, total_tokens=392)
CompletionUsage(completion_tokens=92, prompt_tokens=442, total_tokens=534)
CompletionUsage(completion_tokens=56, prompt_tokens=474, total_tokens=530)
CompletionUsage(completion_tokens=226, prompt_tokens=284, total_tokens=510)
CompletionUsage(completion_tokens=53, prompt_tokens=754, total_tokens=807)
CompletionUsage(completion_tokens=112, prompt_tokens=334, total_tokens=446)
CompletionUsage(completion_tokens=5, prompt_tokens=326, total_tokens=331)
CompletionUsage(completion_tokens=77, prompt_tokens=443, total_tokens=520)
CompletionUsage(completion_tokens=119, prompt_tokens=475, total_tokens=594)
CompletionUsage(completion_tokens=271, prompt_tokens=285, total_tokens=556)
CompletionUsage(completion_tokens=5, prompt_tokens=755, total_tokens=760)
CompletionUsage(completion_tokens=70, prompt_tokens=549, total_tokens=619)
CompletionUsage(completion_tokens=100, prompt_tokens=539, total_tokens=639)
CompletionUsage(completion_tokens=123, prompt_tokens=549, total_tokens=672)
CompletionUsage(completion_tokens=95, prompt_tokens=568, total_tokens=663)
CompletionUsage(completion_tokens=108, prompt_tokens=559, total_tokens=667)
CompletionUsage(completion_tokens=108, prompt_tokens=560, total_tokens=668)
CompletionUsage(completion_tokens=80, prompt_tokens=563, total_tokens=643)
CompletionUsage(completion_tokens=88, prompt_tokens=552, total_tokens=640)
CompletionUsage(completion_tokens=402, prompt_tokens=494, total_tokens=896)
CompletionUsage(completion_tokens=116, prompt_tokens=1045, total_tokens=1161)
CompletionUsage(completion_tokens=106, prompt_tokens=540, total_tokens=646)
CompletionUsage(completion_tokens=63, prompt_tokens=530, total_tokens=593)
CompletionUsage(completion_tokens=69, prompt_tokens=540, total_tokens=609)
CompletionUsage(completion_tokens=77, prompt_tokens=559, total_tokens=636)
CompletionUsage(completion_tokens=61, prompt_tokens=550, total_tokens=611)
CompletionUsage(completion_tokens=65, prompt_tokens=551, total_tokens=616)
CompletionUsage(completion_tokens=67, prompt_tokens=554, total_tokens=621)
CompletionUsage(completion_tokens=92, prompt_tokens=543, total_tokens=635)
CompletionUsage(completion_tokens=68, prompt_tokens=485, total_tokens=553)
CompletionUsage(completion_tokens=68, prompt_tokens=1036, total_tokens=1104)
CompletionUsage(completion_tokens=95, prompt_tokens=541, total_tokens=636)
CompletionUsage(completion_tokens=5, prompt_tokens=531, total_tokens=536)
CompletionUsage(completion_tokens=5, prompt_tokens=541, total_tokens=546)
CompletionUsage(completion_tokens=5, prompt_tokens=560, total_tokens=565)
CompletionUsage(completion_tokens=5, prompt_tokens=551, total_tokens=556)
CompletionUsage(completion_tokens=101, prompt_tokens=552, total_tokens=653)
CompletionUsage(completion_tokens=83, prompt_tokens=555, total_tokens=638)
CompletionUsage(completion_tokens=5, prompt_tokens=544, total_tokens=549)
CompletionUsage(completion_tokens=432, prompt_tokens=486, total_tokens=918)
CompletionUsage(completion_tokens=5, prompt_tokens=1037, total_tokens=1042)
CompletionUsage(completion_tokens=83, prompt_tokens=453, total_tokens=536)
CompletionUsage(completion_tokens=143, prompt_tokens=459, total_tokens=602)
CompletionUsage(completion_tokens=140, prompt_tokens=408, total_tokens=548)
CompletionUsage(completion_tokens=262, prompt_tokens=385, total_tokens=647)
CompletionUsage(completion_tokens=121, prompt_tokens=574, total_tokens=695)
CompletionUsage(completion_tokens=68, prompt_tokens=444, total_tokens=512)
CompletionUsage(completion_tokens=43, prompt_tokens=450, total_tokens=493)
CompletionUsage(completion_tokens=88, prompt_tokens=399, total_tokens=487)
CompletionUsage(completion_tokens=102, prompt_tokens=376, total_tokens=478)
CompletionUsage(completion_tokens=76, prompt_tokens=565, total_tokens=641)
CompletionUsage(completion_tokens=71, prompt_tokens=445, total_tokens=516)
CompletionUsage(completion_tokens=101, prompt_tokens=451, total_tokens=552)
CompletionUsage(completion_tokens=137, prompt_tokens=400, total_tokens=537)
CompletionUsage(completion_tokens=246, prompt_tokens=377, total_tokens=623)
